subject	| subject | Experiment's subject id |		Experiment's subject id
activity	| activity | Activity name |		Activity name
meanOfTimeBodyAccelerometerMeanX	| meanOfTimeBodyAccelerometerMeanX | Mean of means of the time dimension on the body measured by the accelerometer on axis X |		Mean of means of the time dimension on the body measured by the accelerometer on axis X
meanOfTimeBodyAccelerometerMeanY	| meanOfTimeBodyAccelerometerMeanY | Mean of means of the time dimension on the body measured by the accelerometer on axis Y |		Mean of means of the time dimension on the body measured by the accelerometer on axis Y
meanOfTimeBodyAccelerometerMeanZ	| meanOfTimeBodyAccelerometerMeanZ | Mean of means of the time dimension on the body measured by the accelerometer on axis Z |		Mean of means of the time dimension on the body measured by the accelerometer on axis Z
meanOfTimeBodyAccelerometerStdevX	| meanOfTimeBodyAccelerometerStdevX | Mean of standard deviation of the time dimension on the body measured by the accelerometer on axis X |		Mean of standard deviation of the time dimension on the body measured by the accelerometer on axis X
meanOfTimeBodyAccelerometerStdevY	| meanOfTimeBodyAccelerometerStdevY | Mean of standard deviation of the time dimension on the body measured by the accelerometer on axis Y |		Mean of standard deviation of the time dimension on the body measured by the accelerometer on axis Y
meanOfTimeBodyAccelerometerStdevZ	| meanOfTimeBodyAccelerometerStdevZ | Mean of standard deviation of the time dimension on the body measured by the accelerometer on axis Z |		Mean of standard deviation of the time dimension on the body measured by the accelerometer on axis Z
meanOfTimeGravityAccelerometerMeanX	| meanOfTimeGravityAccelerometerMeanX | Mean of means of the time dimension on the gravity measured by the accelerometer on axis X |		Mean of means of the time dimension on the gravity measured by the accelerometer on axis X
meanOfTimeGravityAccelerometerMeanY	| meanOfTimeGravityAccelerometerMeanY | Mean of means of the time dimension on the gravity measured by the accelerometer on axis Y |		Mean of means of the time dimension on the gravity measured by the accelerometer on axis Y
meanOfTimeGravityAccelerometerMeanZ	| meanOfTimeGravityAccelerometerMeanZ | Mean of means of the time dimension on the gravity measured by the accelerometer on axis Z |		Mean of means of the time dimension on the gravity measured by the accelerometer on axis Z
meanOfTimeGravityAccelerometerStdevX	| meanOfTimeGravityAccelerometerStdevX | Mean of standard deviation of the time dimension on the gravity measured by the accelerometer on axis X |		Mean of standard deviation of the time dimension on the gravity measured by the accelerometer on axis X
meanOfTimeGravityAccelerometerStdevY	| meanOfTimeGravityAccelerometerStdevY | Mean of standard deviation of the time dimension on the gravity measured by the accelerometer on axis Y |		Mean of standard deviation of the time dimension on the gravity measured by the accelerometer on axis Y
meanOfTimeGravityAccelerometerStdevZ	| meanOfTimeGravityAccelerometerStdevZ | Mean of standard deviation of the time dimension on the gravity measured by the accelerometer on axis Z |		Mean of standard deviation of the time dimension on the gravity measured by the accelerometer on axis Z
meanOfTimeBodyAccelerometerJerkMeanX	| meanOfTimeBodyAccelerometerJerkMeanX | Mean of Jerk means of the time dimension on the body measured by the accelerometer on axis X |		Mean of Jerk means of the time dimension on the body measured by the accelerometer on axis X
meanOfTimeBodyAccelerometerJerkMeanY	| meanOfTimeBodyAccelerometerJerkMeanY | Mean of Jerk means of the time dimension on the body measured by the accelerometer on axis Y |		Mean of Jerk means of the time dimension on the body measured by the accelerometer on axis Y
meanOfTimeBodyAccelerometerJerkMeanZ	| meanOfTimeBodyAccelerometerJerkMeanZ | Mean of Jerk means of the time dimension on the body measured by the accelerometer on axis Z |		Mean of Jerk means of the time dimension on the body measured by the accelerometer on axis Z
meanOfTimeBodyAccelerometerJerkStdevX	| meanOfTimeBodyAccelerometerJerkStdevX | Mean of Jerk standard deviation of the time dimension on the body measured by the accelerometer on axis X |		Mean of Jerk standard deviation of the time dimension on the body measured by the accelerometer on axis X
meanOfTimeBodyAccelerometerJerkStdevY	| meanOfTimeBodyAccelerometerJerkStdevY | Mean of Jerk standard deviation of the time dimension on the body measured by the accelerometer on axis Y |		Mean of Jerk standard deviation of the time dimension on the body measured by the accelerometer on axis Y
meanOfTimeBodyAccelerometerJerkStdevZ	| meanOfTimeBodyAccelerometerJerkStdevZ | Mean of Jerk standard deviation of the time dimension on the body measured by the accelerometer on axis Z |		Mean of Jerk standard deviation of the time dimension on the body measured by the accelerometer on axis Z
meanOfTimeBodyGyroscopeMeanX	| meanOfTimeBodyGyroscopeMeanX | Mean of means of the time dimension on the body measured by the gyroscope on axis X |		Mean of means of the time dimension on the body measured by the gyroscope on axis X
meanOfTimeBodyGyroscopeMeanY	| meanOfTimeBodyGyroscopeMeanY | Mean of means of the time dimension on the body measured by the gyroscope on axis Y |		Mean of means of the time dimension on the body measured by the gyroscope on axis Y
meanOfTimeBodyGyroscopeMeanZ	| meanOfTimeBodyGyroscopeMeanZ | Mean of means of the time dimension on the body measured by the gyroscope on axis Z |		Mean of means of the time dimension on the body measured by the gyroscope on axis Z
meanOfTimeBodyGyroscopeStdevX	| meanOfTimeBodyGyroscopeStdevX | Mean of standard deviation of the time dimension on the body measured by the gyroscope on axis X |		Mean of standard deviation of the time dimension on the body measured by the gyroscope on axis X
meanOfTimeBodyGyroscopeStdevY	| meanOfTimeBodyGyroscopeStdevY | Mean of standard deviation of the time dimension on the body measured by the gyroscope on axis Y |		Mean of standard deviation of the time dimension on the body measured by the gyroscope on axis Y
meanOfTimeBodyGyroscopeStdevZ	| meanOfTimeBodyGyroscopeStdevZ | Mean of standard deviation of the time dimension on the body measured by the gyroscope on axis Z |		Mean of standard deviation of the time dimension on the body measured by the gyroscope on axis Z
meanOfTimeBodyGyroscopeJerkMeanX	| meanOfTimeBodyGyroscopeJerkMeanX | Mean of Jerk means of the time dimension on the body measured by the gyroscope on axis X |		Mean of Jerk means of the time dimension on the body measured by the gyroscope on axis X
